index,timestamp,respondent,respondent-name,type,type-name,load_mw,value-units,hour,dayofweek,month,year
176,2023-01-02 20:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82597,megawatthours,20,0,1,2023
177,2023-01-02 20:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,80734,megawatthours,20,0,1,2023
178,2023-01-02 20:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,86492,megawatthours,20,0,1,2023
179,2023-01-02 20:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3899,megawatthours,20,0,1,2023
180,2023-01-02 21:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82675,megawatthours,21,0,1,2023
181,2023-01-02 21:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,84311,megawatthours,21,0,1,2023
182,2023-01-02 21:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,86530,megawatthours,21,0,1,2023
183,2023-01-02 21:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3857,megawatthours,21,0,1,2023
184,2023-01-02 22:00:00,PJM,"PJM Interconnection, LLC",D,Demand,85159,megawatthours,22,0,1,2023
185,2023-01-02 22:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,89742,megawatthours,22,0,1,2023
186,2023-01-02 22:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,87749,megawatthours,22,0,1,2023
187,2023-01-02 22:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,2593,megawatthours,22,0,1,2023
188,2023-01-02 23:00:00,PJM,"PJM Interconnection, LLC",D,Demand,89551,megawatthours,23,0,1,2023
189,2023-01-02 23:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,89876,megawatthours,23,0,1,2023
190,2023-01-02 23:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,92316,megawatthours,23,0,1,2023
191,2023-01-02 23:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,2767,megawatthours,23,0,1,2023
192,2023-01-03 00:00:00,PJM,"PJM Interconnection, LLC",D,Demand,90127,megawatthours,0,1,1,2023
193,2023-01-03 00:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,88587,megawatthours,0,1,1,2023
194,2023-01-03 00:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,92923,megawatthours,0,1,1,2023
195,2023-01-03 00:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,2799,megawatthours,0,1,1,2023
196,2023-01-03 01:00:00,PJM,"PJM Interconnection, LLC",D,Demand,88802,megawatthours,1,1,1,2023
197,2023-01-03 01:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,86938,megawatthours,1,1,1,2023
198,2023-01-03 01:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,92425,megawatthours,1,1,1,2023
199,2023-01-03 01:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3625,megawatthours,1,1,1,2023
200,2023-01-03 02:00:00,PJM,"PJM Interconnection, LLC",D,Demand,86856,megawatthours,2,1,1,2023
201,2023-01-03 02:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,84245,megawatthours,2,1,1,2023
202,2023-01-03 02:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,90373,megawatthours,2,1,1,2023
203,2023-01-03 02:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3520,megawatthours,2,1,1,2023
204,2023-01-03 03:00:00,PJM,"PJM Interconnection, LLC",D,Demand,83777,megawatthours,3,1,1,2023
